title,artist
Take on Me,a-ha
Friday I'm in Love,The Cure
Every Breath You Take,The Police
Love Will Tear Us Apart,Joy Division
Just Like Heaven,The Cure
Boys Don't Cry,The Cure
Everybody Wants to Rule the World,Tears for Fears
Enjoy the Silence,Depeche Mode
Blinding Lights,The Weeknd
Roxanne,The Police
Girls Just Want to Have Fun,Cyndi Lauper
Tainted Love,Soft Cell
Close to Me,The Cure
Lullaby,The Cure
Message in a Bottle,The Police
Lovesong,The Cure
Time After Time,Cyndi Lauper
Don't You (Forget About Me),Simple Minds
Blue Monday,New Order
There Is a Light That Never Goes Out,The Smiths
Heart of Glass,Blondie
Come on Eileen,Dexys Midnight Runners
Running Up That Hill (A Deal With God),Kate Bush
Sweet Dreams (Are Made of This),Eurythmics
Down Under,Men at Work
Personal Jesus,Depeche Mode
Call Me,Blondie
How Soon Is Now?,The Smiths
The Killing Moon,Echo & the Bunnymen
This Charming Man,The Smiths
Still into You,Paramore
Save Your Tears,The Weeknd
Wake Me up Before You Go-Go,Wham!
A Forest,The Cure
One Way or Another,Blondie
Pictures of You,The Cure
Shout,Tears for Fears
Golden Brown,The Stranglers
As It Was,Harry Styles
Inbetween Days,The Cure
Disorder,Joy Division
Shut Up and Dance,Walk the Moon
Every Little Thing She Does Is Magic,The Police
She's Lost Control,Joy Division
Transmission,Joy Division
Forever Young,Alphaville
Chamber of Reflection,Mac DeMarco
Video Killed the Radio Star,The Buggles
Don't You Want Me,The Human League
Rock the Casbah,The Clash
